"统计时间","在线车辆数","运行里程","运行时长"
"2020-12-09","118.00","6317.22","354.0000"
"2020-12-10","124.00","6153.98","348.0000"
"2020-12-11","127.00","5936.87","329.0000"
"2020-12-12","108.00","5613.63","321.0000"
"2020-12-13","124.00","5511.91","310.0000"
"2020-12-14","106.00","6542.29","390.0000"
"2020-12-15","102.00","5897.01","356.0000"
"2020-12-16","101.00","5583.52","336.0000"
"2020-12-17","115.00","5144.79","292.0000"
"2020-12-18","124.00","5345.46","303.0000"
"2020-12-19","93.00","4712.47","266.0000"
"2020-12-20","104.00","4616.23","262.0000"
"2020-12-21","123.00","5909.96","316.0000"
"2020-12-22","113.00","5833.49","309.0000"
"2020-12-23","110.00","6071.40","325.0000"
"2020-12-25","111.00","5384.27","298.0000"
"2020-12-24","108.00","5167.24","294.0000"
"2020-12-26","216.00","11085.00","609.0000"
"2020-12-27","106.00","5836.73","311.0000"
"2020-12-28","121.00","5866.56","329.0000"
"2020-12-29","78.00","3889.68","233.0000"
"2020-12-30","70.00","5905.37","371.0000"
"2020-12-31","78.00","4031.07","249.0000"
"2021-01-01","84.00","4123.34","261.0000"
"2021-01-02","94.00","5480.90","293.0000"
"2021-01-03","103.00","5032.14","276.0000"
"2021-01-04","107.00","5174.17","276.0000"
"2021-01-05","55.00","2971.65","166.0000"
"2021-01-06","53.00","2690.48","161.0000"
"2021-01-07","25.00","824.01","57.0000"
"2021-01-08","30.00","1309.58","85.0000"
"2021-01-09","36.00","1381.36","89.0000"
"2021-01-10","47.00","2076.04","129.0000"
"2021-01-11","57.00","2908.17","159.0000"
"2021-01-12","66.00","3174.31","184.0000"
"2021-01-13","67.00","3226.62","195.0000"
"2021-01-14","63.00","3163.76","190.0000"
"2021-01-15","104.00","4041.60","226.0000"
"2021-01-16","87.00","4758.89","271.0000"
"2021-01-17","97.00","5006.68","279.0000"
"2021-01-18","112.00","5033.29","284.0000"
"2021-01-19","109.00","5068.64","282.0000"
"2021-01-20","126.00","7044.50","365.0000"
"2021-01-21","125.00","6580.82","352.0000"
"2021-01-22","121.00","6406.17","342.0000"
"2021-01-23","101.00","5231.65","293.0000"
"2021-01-24","105.00","5288.58","292.0000"
"2021-01-25","126.00","6912.68","363.0000"
"2021-01-27","131.00","7217.50","375.0000"
"2021-01-28","99.00","5017.02","261.0000"
"2021-01-29","105.00","5302.25","286.0000"
"2021-01-30","119.00","6351.94","341.0000"
"2021-01-31","122.00","6629.57","351.0000"
"2021-02-01","129.00","6734.14","359.0000"
"2021-02-02","116.00","6088.30","315.0000"
"2021-02-03","134.00","6908.44","351.0000"
"2021-02-04","127.00","6711.60","350.0000"
"2021-02-05","130.00","7139.33","366.0000"
"2021-02-06","117.00","6829.44","370.0000"
"2021-02-07","120.00","7672.95","412.0000"
"2021-02-08","127.00","7343.22","404.0000"
"2021-02-09","126.00","7514.01","404.0000"
"2021-02-10","130.00","8644.32","452.0000"
"2021-02-11","99.00","7005.74","353.0000"
"2021-02-12","93.00","4776.34","245.0000"
"2021-02-13","98.00","4896.82","259.0000"
"2021-02-14","79.00","3877.28","214.0000"
"2021-02-15","62.00","3302.88","163.0000"
"2021-02-16","83.00","3651.11","198.0000"
"2021-02-17","93.00","4940.66","275.0000"
